pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
759.312087,824.299667,725.938925,1002.618985,747.318798,752.194415,686.198736,1266.827058,1068.033698,1174.877121,466.690372,1322.734509,NaN,NaN,667.040879,1255.078486,777.414226,1110.190965,-0.438761,0.102305,922.073355,961.635779
759.227814,824.088661,725.938925,1002.618985,747.318798,751.901713,686.198736,1266.990507,1068.000000,1175.000000,2026.854229,1418.081429,651.928943,995.386314,679.251766,1102.777562,768.545720,1228.091779,3840.376790,2159.988473,922.000000,962.000000
758.890719,824.088661,725.938925,1002.618985,747.201896,751.901713,686.198736,1266.990507,1068.000000,1175.000000,NaN,NaN,798.783670,1006.949096,NaN,NaN,762.151590,1313.646074,NaN,NaN,922.000000,962.000000
758.890719,823.983159,725.804216,1002.239540,747.201896,751.901713,686.198736,1266.990507,1067.990000,1174.820000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.030000,961.830000
759.227814,824.194164,725.871570,1001.860095,747.669505,751.901713,686.198736,1266.091537,1068.060000,1174.830000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.110000,961.860000
759.143540,823.772154,725.871570,1001.607131,747.669505,751.901713,686.198736,1266.091537,1067.990000,1174.810000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.040000,961.820000
759.143540,823.455646,725.871570,1001.438489,747.669505,751.609012,686.198736,1266.009812,1067.980000,1173.810000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.030000,961.840000
758.637898,823.561148,725.770539,1001.312007,747.669505,750.877259,686.068175,1265.356016,1067.950000,1173.870000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.073355,961.098442
759.143540,823.666651,725.400091,1000.848241,747.669505,750.877259,686.068175,1265.356016,1067.970000,1173.950000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,921.920000,960.940000
759.143540,823.033635,725.669508,1000.763920,747.669505,750.877259,686.068175,1264.865669,1068.010000,1173.810000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,921.960000,960.480000
759.143540,823.244640,725.602153,1000.721759,747.669505,750.877259,686.068175,1264.865669,1068.207707,1173.612759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.100000,959.950000
758.974993,822.822630,726.174665,1000.510956,748.120000,750.790000,686.068175,1264.538770,1068.327493,1173.280523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,921.970000,959.490000
759.564908,822.189614,726.140987,1000.257993,748.010000,750.830000,686.068175,1264.538770,1067.848348,1173.413417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.073355,960.484342
759.059266,822.084111,726.376727,999.583424,747.960000,750.830000,686.982097,1264.211872,1067.788455,1172.815393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.107960,959.716717
758.553624,821.873106,726.073633,999.541263,747.920000,750.830000,686.329296,1264.211872,1068.028027,1172.748945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.177171,959.409667
759.312087,821.556598,726.107310,999.456942,748.110000,750.860000,686.329296,1264.211872,1068.028027,1172.350262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.177171,959.064235
758.806445,820.923582,726.242019,999.499102,747.980000,750.920000,686.394576,1264.211872,1068.147814,1171.885132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.177171,959.064235
758.553624,820.923582,726.275696,998.993175,748.020000,750.840000,686.525136,1263.639800,1068.028027,1172.483157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.177171,958.642042
759.227814,820.712577,726.275696,998.993175,748.080000,750.870000,686.459856,1262.986004,1068.147814,1171.552896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.177171,958.642042
758.974993,820.501572,726.107310,998.908854,747.940000,750.860000,686.002895,1262.740830,1068.147814,1172.018026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.246382,957.874417
758.890719,820.079561,726.107310,998.908854,748.000000,750.810000,686.002895,1262.740830,1068.000000,1171.870000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.315592,957.759273
758.300803,819.446545,726.071965,999.058850,747.990000,751.000000,686.329296,1262.740830,1067.990000,1171.970000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.315592,957.720892
759.307397,820.474241,726.296226,998.707908,748.254017,749.121051,687.047377,1262.495656,1068.000000,1171.890000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.488619,958.027942
759.307397,820.474241,725.679235,999.124075,748.010000,748.660000,687.047377,1262.495656,1067.668668,1171.486448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.177171,957.682510
759.041051,820.140801,726.269881,998.384641,748.050000,748.690000,687.047377,1262.495656,1068.447279,1171.420001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.557830,957.720892
759.041051,819.807360,726.269881,998.088868,748.000000,748.890000,687.047377,1262.495656,1068.207707,1170.755529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,922.211776,957.682510
759.174224,820.640962,726.624269,998.680415,748.860000,749.130000,687.047377,1262.413932,1064.075079,1175.273939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,920.758352,959.179379
761.959259,822.284761,728.396207,1000.159281,752.080000,750.590000,685.676495,1264.211872,1052.223777,1188.090264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,917.609267,966.126386
767.286186,823.396229,732.530730,1000.602941,763.100609,750.730908,683.652810,1263.721525,1030.034825,1207.560127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,913.890000,973.920000
775.394953,824.878187,739.972872,1001.342374,777.596493,752.926168,683.913931,1263.476351,1004.582262,1227.976504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,909.220000,985.500000
787.108718,826.093054,751.195148,1002.525467,797.586786,755.706830,686.133455,1263.476351,970.972917,1250.937559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,903.880000,997.700000
804.505628,826.268693,765.370656,1004.152220,824.708119,761.121803,688.418260,1262.740830,930.949190,1271.580278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,898.760000,1010.240000
820.930000,826.570000,775.293511,1001.933921,842.360366,761.999907,687.060000,1258.310000,926.868324,1276.560453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,905.800000,1012.610000
836.450000,826.820000,788.405855,1002.081807,860.129515,760.975452,698.563099,1255.725814,928.296627,1278.371425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,914.960000,1013.140000
849.133436,825.884088,801.636329,1000.750827,876.060000,760.430000,708.130000,1253.330000,929.928974,1278.824169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,923.320000,1013.020000
860.785699,823.455494,811.677313,998.532528,889.150000,759.560000,716.270000,1250.930000,929.928974,1278.371425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,929.890000,1013.150000
869.248099,822.346688,825.380304,998.384641,901.750000,759.010000,731.748174,1250.589654,931.357277,1277.918682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,937.060000,1012.430000
878.220000,821.950000,840.264587,1000.750827,909.646838,759.650880,750.999178,1254.765472,933.780000,1278.420000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,942.580000,1012.170000
884.334714,823.213065,853.849448,1003.708560,916.810000,760.600000,772.888563,1259.300729,934.990000,1278.730000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,946.760000,1012.570000
887.933356,822.693239,865.356295,1005.195504,920.910000,760.990000,794.090000,1263.080000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,948.890000,1013.100000
891.393589,822.866514,880.499114,1007.411301,925.940000,760.870000,822.625004,1268.926682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
896.514733,822.866514,896.428573,1009.750198,930.650000,761.200000,849.990000,1273.120000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900.390194,821.653586,913.117283,1012.130135,935.710000,761.120000,877.100000,1275.930000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
906.203385,821.133760,932.330161,1013.281595,941.900000,761.170000,912.262310,1279.592178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
912.071257,821.056516,951.032058,1013.409535,948.770000,761.240000,943.358023,1279.592178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
919.547171,820.800102,971.369093,1013.921294,957.810000,761.640000,975.260000,1280.140000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
929.992969,820.287272,991.933716,1014.473068,968.720000,762.600000,1007.090000,1279.730000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
942.998582,820.705391,1015.424924,1014.220632,982.290000,763.990000,1038.780000,1279.580000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
959.045996,820.785431,1037.303002,1015.356593,999.603330,765.498302,1068.470000,1280.260000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
977.352956,820.242275,1061.296079,1017.890856,1020.108999,768.334540,1095.190000,1282.120000,944.212006,1278.145054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
999.439071,823.367068,1086.221043,1022.303500,1045.708723,771.539384,1119.770000,1286.570000,946.450000,1277.110000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1025.658752,826.987631,1111.146006,1028.922466,1073.868420,777.949071,1141.940000,1294.180000,948.660000,1275.720000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1036.390263,1021.426577
1060.504444,829.064942,1136.070969,1033.965488,1106.949247,782.810549,1155.040163,1300.040023,951.690000,1274.050000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1054.802311,1021.187735
1088.795310,822.417549,1150.531195,1029.865690,1137.213810,779.676925,1155.450000,1297.000000,969.599746,1262.199489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1106.140044,823.600608,1165.397115,1029.405028,1159.286461,779.392050,1161.370000,1296.900000,991.587089,1260.198238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1125.580000,823.590000,1175.994602,1028.944366,1177.263156,778.252550,1162.840000,1296.320000,1016.489039,1262.832212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1144.600000,824.530000,1185.120216,1028.575837,1193.700000,777.250000,1164.910000,1295.510000,1040.780315,1268.250672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1159.606023,825.588757,1191.379288,1028.495396,1206.389953,777.113050,1166.820000,1295.540000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1168.869931,829.565055,1196.800321,1028.495396,1215.264524,776.828175,1168.010000,1295.770000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1182.633450,832.878637,1202.414962,1028.495396,1225.050000,777.460000,1169.110000,1295.160000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1199.573166,834.535428,1208.320016,1028.616585,1234.810000,777.630000,1170.250000,1294.820000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1216.248200,841.162592,1213.353832,1029.101344,1243.980000,778.480000,1170.690000,1294.630000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1230.541085,842.488025,1220.033319,1029.222534,1256.000000,779.000000,1171.997364,1293.186921,1324.110279,1296.400210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1304.498567,1032.298604
1250.392315,844.807532,1229.616930,1030.070861,1271.542517,781.592966,1174.677513,1292.306154,1366.760289,1295.342907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1332.214093,1033.036356
1274.743157,850.440621,1241.911059,1031.282758,1293.430323,784.965454,1175.868690,1291.865770,1412.799353,1294.379462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1367.689967,1034.020025
1303.858295,855.079636,1257.012507,1033.100603,1319.865358,789.003697,1178.945898,1290.544619,1452.883923,1295.726015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1398.380000,1036.770000
1335.355580,863.363590,1275.598905,1036.009155,1351.241037,796.701667,1182.122370,1288.562892,1490.133540,1300.879712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1431.560000,1043.180000
1372.903857,879.102198,1294.538586,1038.866667,1388.805181,805.765238,1186.092961,1284.929726,1516.109245,1311.947489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1463.230000,1051.230000
1403.541999,869.513183,1319.967847,1026.491625,1421.141386,797.012401,1204.556208,1269.075912,1522.584127,1307.892120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1480.570000,1044.080000
1430.234320,870.384912,1340.786901,1023.585387,1451.292714,798.653558,1223.019456,1266.213418,1527.678892,1313.472078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1499.080000,1046.670000
1449.048572,863.525582,1366.543145,1022.789229,1478.385211,796.191822,1250.813591,1264.121596,1530.125460,1313.130304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1512.390000,1046.040000
1471.030946,862.952252,1393.889280,1024.779623,1499.797023,795.097717,1281.680023,1268.233931,1531.505985,1313.292206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1523.978490,1047.062390
